epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3905,2.74888,1.94208,1.23511,0.40684,0.40806,0.36265,0.2019,2.48503,1.44005,1.16649,5.71288e-05,5.71288e-05,0.0669926
2,51.1847,2.27542,1.31256,1.06868,0.43726,0.48631,0.45998,0.26341,2.2623,1.19172,1.07099,0.000112451,0.000112451,0.0337146
3,73.6027,2.179,1.20265,1.04561,0.54579,0.51232,0.51167,0.29441,2.19588,1.06796,1.05414,0.000165492,0.000165492,0.000434309
4,95.8326,2.08211,1.11953,1.02175,0.58232,0.53083,0.54843,0.31283,2.15662,1.03212,1.04488,0.000162517,0.000162517,0.000162517
5,118.029,2.02215,1.07887,1.01238,0.61467,0.54835,0.56916,0.33004,2.17766,0.98716,1.0481,0.000159096,0.000159096,0.000159096
6,140.337,2.00704,1.06209,0.99859,0.60097,0.55553,0.57433,0.34057,2.12182,0.95948,1.03073,0.000155675,0.000155675,0.000155675
7,162.713,1.98355,1.02906,0.99868,0.54936,0.56293,0.56586,0.33739,2.09065,0.96055,1.02578,0.000152254,0.000152254,0.000152254
8,185.033,1.95152,0.99955,0.98218,0.61035,0.5576,0.58334,0.35184,2.12148,0.92383,1.01909,0.000148833,0.000148833,0.000148833
9,207.393,1.96744,0.99464,0.98424,0.64465,0.5305,0.57197,0.34078,2.1013,0.96944,1.02152,0.000145412,0.000145412,0.000145412
10,229.55,1.94856,0.95976,0.96982,0.56037,0.60069,0.59132,0.35735,2.05074,0.944,1.00665,0.000141991,0.000141991,0.000141991
11,252.011,1.91197,0.94793,0.97106,0.63925,0.5474,0.59005,0.35903,2.06673,0.9184,1.01169,0.000138569,0.000138569,0.000138569
12,274.51,1.87542,0.91653,0.96281,0.63197,0.59434,0.61469,0.37461,2.06648,0.89786,1.01719,0.000135148,0.000135148,0.000135148
13,297.185,1.87913,0.89736,0.96025,0.67058,0.60062,0.62472,0.37473,2.09453,0.88492,1.02123,0.000131727,0.000131727,0.000131727
14,319.75,1.85325,0.89927,0.94713,0.65757,0.60654,0.62228,0.37431,2.08552,0.87732,1.01594,0.000128306,0.000128306,0.000128306
15,341.845,1.8591,0.8949,0.95758,0.64234,0.56962,0.6028,0.37331,2.05194,0.90745,1.00719,0.000124885,0.000124885,0.000124885
16,364.106,1.83386,0.87637,0.95118,0.67006,0.59292,0.62052,0.37489,2.04557,0.8699,1.00789,0.000121464,0.000121464,0.000121464
17,386.528,1.83286,0.87266,0.95127,0.6507,0.59638,0.62372,0.37722,2.03361,0.89041,1.00665,0.000118043,0.000118043,0.000118043
18,409.356,1.81173,0.85412,0.9462,0.66046,0.60089,0.62575,0.37843,2.04333,0.87844,0.99668,0.000114622,0.000114622,0.000114622
19,431.78,1.79935,0.83672,0.93887,0.68872,0.58964,0.62093,0.37934,2.03651,0.86681,1.0054,0.000111201,0.000111201,0.000111201
20,454.16,1.79428,0.83329,0.93414,0.67078,0.62431,0.6464,0.38736,2.02276,0.87495,0.99265,0.00010778,0.00010778,0.00010778
21,476.466,1.77455,0.82489,0.93605,0.65984,0.61819,0.63572,0.38761,2.03275,0.84468,0.9952,0.000104359,0.000104359,0.000104359
22,499.679,1.75072,0.78717,0.93719,0.66995,0.60667,0.63289,0.38446,2.03077,0.85628,0.9962,0.000100938,0.000100938,0.000100938
23,522.156,1.7275,0.77109,0.93096,0.66068,0.59667,0.62966,0.38498,2.02148,0.84795,0.99493,9.7517e-05,9.7517e-05,9.7517e-05
24,544.223,1.71197,0.74863,0.92375,0.65455,0.59776,0.61931,0.37331,2.037,0.84787,1.00635,9.40959e-05,9.40959e-05,9.40959e-05
25,566.376,1.7153,0.74661,0.92472,0.67154,0.62106,0.64018,0.38502,2.03225,0.837,1.00024,9.06749e-05,9.06749e-05,9.06749e-05
26,588.44,1.69406,0.73148,0.91632,0.66639,0.62285,0.6278,0.37954,2.01639,0.83744,0.99537,8.72539e-05,8.72539e-05,8.72539e-05
