experiment,checkpoint,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
baseline/epoch0,epoch0,0.25,0.7,0.5,762,760,502,390,112,260,258,0.7689858930281909,0.7768924302788844,0.6181490684742955,0.7768924302788844,0.5118110236220472,0.5131578947368421,0.5124835742444154,0.6587926509186351,0.6605263157894737,0.6596583442838371,390,372,370
baseline/epoch1,epoch1,0.25,0.7,0.5,910,760,556,470,86,354,204,0.7678872985805539,0.8453237410071942,0.6380844041652536,0.8453237410071942,0.5164835164835165,0.618421052631579,0.562874251497006,0.610989010989011,0.7315789473684211,0.665868263473054,470,440,290
baseline/epoch2,epoch2,0.25,0.7,0.5,676,760,507,422,85,169,253,0.7726519595706721,0.8323471400394478,0.5823114549387405,0.8323471400394478,0.6242603550295858,0.5552631578947368,0.5877437325905291,0.75,0.6671052631578948,0.7061281337047353,422,254,338
baseline/epoch3,epoch3,0.25,0.7,0.5,727,760,531,465,66,196,229,0.7698501475337759,0.8757062146892656,0.7512568551047336,0.8757062146892656,0.6396148555708391,0.6118421052631579,0.6254203093476799,0.7303988995873453,0.6986842105263158,0.7141896435776732,465,262,295
baseline/epoch4,epoch4,0.25,0.7,0.5,794,760,559,488,71,235,201,0.7641020241278442,0.8729874776386404,0.6887608536425287,0.8729874776386404,0.6146095717884131,0.6421052631578947,0.6280566280566281,0.7040302267002518,0.7355263157894737,0.7194337194337194,488,306,272
baseline/epoch5,epoch5,0.25,0.7,0.5,783,760,559,485,74,224,201,0.7754224981306277,0.8676207513416816,0.7084055779507613,0.8676207513416816,0.6194125159642401,0.6381578947368421,0.6286454957874271,0.7139208173690932,0.7355263157894737,0.7245625405055087,485,298,275
baseline/epoch6,epoch6,0.25,0.7,0.5,789,760,539,480,59,250,221,0.7778853363805003,0.8905380333951762,0.7845753397612172,0.8905380333951762,0.6083650190114068,0.631578947368421,0.6197546804389928,0.6831432192648923,0.7092105263157895,0.6959328599096192,480,309,280
baseline/epoch7,epoch7,0.25,0.7,0.5,655,760,530,466,64,125,230,0.7754616781225744,0.879245283018868,0.7841745609185833,0.879245283018868,0.7114503816793893,0.6131578947368421,0.6586572438162545,0.8091603053435115,0.6973684210526315,0.7491166077738515,466,189,294
baseline/epoch8,epoch8,0.25,0.7,0.5,753,760,539,481,58,214,221,0.7740403231309385,0.8923933209647495,0.8301556646696359,0.8923933209647495,0.6387782204515272,0.6328947368421053,0.635822868473232,0.7158034528552457,0.7092105263157895,0.7124917382683411,481,272,279
baseline/epoch9,epoch9,0.25,0.7,0.5,807,760,573,514,59,234,187,0.7769594241395255,0.8970331588132635,0.7783673542863891,0.8970331588132635,0.6369268897149938,0.6763157894736842,0.6560306317804722,0.7100371747211895,0.7539473684210526,0.7313337587747286,514,293,246
