rank,run_id,run_name,state,learning_rate,weight_decay,warmup_steps,bbox_loss_coefficient,giou_loss_coefficient,eos_coefficient,alpha_cls,p_vflip,aug_strength,eval_loss
1,z3v6tf7p,noble-sweep-41,finished,2.2224002296231692e-05,0.0003826941291735,688,4,1,0.2857894534610773,0.8462890202569344,0.0880661979425014,1.0302674534382317,1.7256211042404177
7,d5gbxwj5,rose-sweep-32,finished,2.0328946089676195e-05,1.3831001277011232e-05,268,9,2,0.1647804204257765,0.7651239278429762,0.3813948397031412,1.3582212195344567,2.540968656539917
9,m70ggejf,worthy-sweep-1,finished,2.111371294846843e-05,0.0002924078610685,912,3,3,0.3864946512467098,0.7236739412569939,0.3817088519793739,0.6011054103083818,2.685106039047241
10,1hn2dj8h,vital-sweep-16,finished,6.189783459968894e-06,6.150561661121699e-05,821,3,4,0.2741173892574947,0.2658261723649811,0.1653577685058431,1.0412461951621432,2.752106189727783
16,xo77rfxh,decent-sweep-18,finished,2.0439117683255612e-05,0.0005089348123516,299,5,6,0.1202644215911821,0.1178191244860535,0.3285843504346184,1.313462118409356,2.931192398071289
23,hz4humzu,smooth-sweep-29,finished,3.840958031521737e-06,2.1323823770210173e-05,131,7,1,0.1377579020463709,1.115236603245807,0.4855481512971161,1.0297355925884482,3.2718491554260254
27,3l37m4rp,dainty-sweep-40,finished,9.345203393797933e-06,0.000349654149931,370,4,2,0.2861575455908783,1.499808554110848,0.3657834242015945,1.3268674466155048,3.5104422569274902
29,e91bm9qn,driven-sweep-36,finished,8.028337212671757e-06,0.0007170570692155,1012,11,5,0.4777286653658558,0.7035418989344604,0.0749363160702218,1.379474778465911,3.61998987197876
33,ew5y4e80,apricot-sweep-5,finished,9.522357717436332e-06,0.0001516854245956,666,8,4,0.3831058683202461,1.5068959987037454,0.1062193621591647,1.2715975430471236,4.079183101654053
38,9e34wbvg,kind-sweep-27,finished,9.493190290640486e-06,0.0059882570973208,1345,9,3,0.4392493432929268,1.995968646283298,0.1969743265274319,1.0063255543140914,4.748659133911133
40,sr5sz1s0,atomic-sweep-20,finished,7.044333132838341e-06,4.3458645674866725e-05,760,10,6,0.4569342647300302,1.5417483183434055,0.2116661651728051,1.0635918855301814,4.909748077392578
42,05sglmsn,kind-sweep-39,finished,3.639366438894118e-06,0.0001183974186918,506,6,5,0.1723593302284472,1.9758581491623377,0.0942502227908981,1.325707533613667,5.7950029373168945
