rank,run_id,run_name,state,learning_rate,weight_decay,warmup_steps,bbox_loss_coefficient,giou_loss_coefficient,eos_coefficient,alpha_cls,p_vflip,aug_strength,eval_loss
1,z3v6tf7p,noble-sweep-41,finished,2.2224002296231692e-05,0.00038269412917359016,688,4,1,0.2857894534610773,0.8462890202569344,0.08806619794250142,1.0302674534382317,1.7256211042404177
2,6b66ddzu,floral-sweep-38,finished,1.939861625541513e-05,0.0033933282957302473,680,8,1,0.491810312196505,0.5408170098519882,0.08218007501836072,0.5719541669095753,1.8066067695617676
3,ya8fnghr,good-sweep-3,finished,1.4668662428373506e-05,0.0026549741557787016,1484,12,1,0.35390780061342625,0.30463669041254104,0.237986223178474,0.8072704572425496,1.974087119102478
4,4ejxyq0e,ethereal-sweep-35,finished,3.20526288848543e-06,0.00015693604673315152,1108,8,1,0.41686354522817914,0.2909759452069074,0.13212404483815998,0.676325435934208,2.070708990097046
5,ggkalt59,worldly-sweep-14,finished,2.1036031303731715e-05,0.00010437658056020758,1136,9,1,0.0736953058582393,0.6581294426605091,0.36996829157753586,0.5883808670020646,2.376461982727051
6,nmpfw3z7,hopeful-sweep-23,finished,2.76183438595722e-05,3.608849597146583e-05,870,12,1,0.2327209208661163,1.1981139192241974,0.31985737953116206,0.9680676171815216,2.4910736083984375
7,d5gbxwj5,rose-sweep-32,finished,2.0328946089676195e-05,1.3831001277011232e-05,268,9,2,0.1647804204257765,0.7651239278429762,0.38139483970314125,1.3582212195344567,2.540968656539917
8,xaomug4x,earnest-sweep-25,finished,1.7272024175083864e-05,7.758725539321812e-05,1484,6,1,0.1480783254716429,0.7900235761820564,0.4195416610044539,1.220442973061143,2.59549880027771
9,m70ggejf,worthy-sweep-1,finished,2.111371294846843e-05,0.00029240786106856677,912,3,3,0.38649465124670984,0.7236739412569939,0.38170885197937393,0.6011054103083818,2.685106039047241
10,1hn2dj8h,vital-sweep-16,finished,6.189783459968894e-06,6.150561661121699e-05,821,3,4,0.27411738925749474,0.2658261723649811,0.1653577685058431,1.0412461951621432,2.752106189727783
11,dodd8gao,good-sweep-4,finished,4.638379691395075e-06,0.005471084471634922,248,10,1,0.17082939441637873,0.7756292937825755,0.038271834109710856,0.8947689823132401,2.758064031600952
12,vxgis99j,fine-sweep-34,finished,3.856300134631361e-06,0.0040010737767572115,945,3,3,0.11261046489297329,0.3214366665751496,0.31653102029743524,0.6522066304079193,2.7632639408111572
13,rtvt5ewx,royal-sweep-15,finished,2.9662145242151237e-05,0.00013589295379215168,711,5,3,0.4787829714691064,1.133079471633578,0.2673648197399096,1.461967468295653,2.801618814468384
14,xyx6omt5,fanciful-sweep-6,finished,3.766776858371193e-06,5.504158464996465e-05,1283,10,3,0.11369658049238368,0.06957344423644929,0.32336797523282096,1.3188137558789252,2.8261187076568604
15,v7ed3a16,major-sweep-10,finished,1.4945757965292886e-05,0.0028265518713722036,162,6,2,0.3706424676408101,1.3058207587216402,0.28472404582564687,0.7984665120960898,2.889915704727173
16,xo77rfxh,decent-sweep-18,finished,2.0439117683255612e-05,0.0005089348123516962,299,5,6,0.12026442159118216,0.11781912448605358,0.3285843504346184,1.313462118409356,2.931192398071289
17,2rf5zc3q,fresh-sweep-21,finished,7.739347561521205e-06,0.004220410100809027,1002,5,4,0.08895589942737989,0.25971609293087305,0.18872331087458097,1.47137329380768,2.9762909412384033
18,wyctrzha,stoic-sweep-13,finished,1.5922660397737378e-05,3.130428729216929e-05,881,3,1,0.2244080624738955,1.601373828122596,0.1931488449759518,1.2987777897816168,2.994617462158203
19,dvek0qph,comfy-sweep-22,finished,2.2308909366117537e-05,0.0012213100908122446,1106,11,1,0.3346604379894424,1.2791350158903925,0.16055512900457453,0.7297887718142054,3.0037879943847656
20,kx8r9yrd,proud-sweep-19,finished,7.364069773071148e-06,1.899021961666652e-05,1174,6,1,0.1861505300921553,1.0391127506875903,0.06100616561070821,1.3180028955189165,3.007740020751953
21,anr8lvx6,vague-sweep-37,finished,3.952864447309902e-06,0.0013375591175507297,802,7,1,0.11395037309922426,1.0655143084593026,0.2607583654690005,0.94353853196508,3.1646995544433594
22,lqis7vv5,noble-sweep-11,finished,1.7168671770679193e-05,0.0016835002505309082,366,4,2,0.15407292686969415,1.6971855968701024,0.02563207646746551,0.7802940021401501,3.21053695678711
23,hz4humzu,smooth-sweep-29,finished,3.840958031521737e-06,2.1323823770210173e-05,131,7,1,0.13775790204637098,1.115236603245807,0.4855481512971161,1.0297355925884482,3.2718491554260254
24,3ym1mafe,copper-sweep-2,finished,7.219354789609027e-06,4.6745363258356474e-05,1120,6,4,0.3832712848416569,0.845370871699767,0.3326808670327763,0.823420304962697,3.4865736961364746
25,1mpeu5jk,graceful-sweep-33,finished,2.029493730541493e-05,4.358687327693828e-05,1106,6,6,0.1400664697699471,0.35952209041601657,0.180321850763014,1.1503946277013095,3.504528045654297
26,1ojs7tse,sage-sweep-26,finished,1.836176034879785e-05,2.195714070384661e-05,570,12,2,0.1822444912579004,1.895423541851168,0.3093529444226161,0.7813155423845912,3.5067408084869385
27,3l37m4rp,dainty-sweep-40,finished,9.345203393797933e-06,0.00034965414993103354,370,4,2,0.28615754559087836,1.499808554110848,0.3657834242015945,1.3268674466155048,3.5104422569274902
28,l03umldz,rural-sweep-7,finished,1.8156625252666245e-05,2.6222552176483378e-05,481,6,6,0.2666307195914425,0.7209905117703723,0.20975899178671475,0.7707899673109391,3.5823028087615967
29,e91bm9qn,driven-sweep-36,finished,8.028337212671757e-06,0.0007170570692155261,1012,11,5,0.4777286653658558,0.7035418989344604,0.07493631607022189,1.379474778465911,3.61998987197876
30,twnh98z2,feasible-sweep-8,finished,1.45274722053274e-05,6.751894635091122e-05,416,10,6,0.13448269629199497,0.4988230690155615,0.046106789043591834,1.0101382063550757,3.6441242694854736
31,54v4lts7,robust-sweep-12,finished,4.12657716469785e-06,0.00032971943499319117,1268,6,6,0.050783566926041745,0.048084916231803776,0.003365586598448711,0.9381963884329094,3.690993547439575
32,jj289hv7,super-sweep-42,crashed,2.62236583724897e-05,4.1179180090776696e-05,1004,6,5,0.4647840888938543,1.114617859233875,0.41750551774170774,0.9202234323312086,4.074301719665527
33,ew5y4e80,apricot-sweep-5,finished,9.522357717436332e-06,0.00015168542459564435,666,8,4,0.3831058683202461,1.5068959987037454,0.10621936215916472,1.2715975430471236,4.079183101654053
34,5k56vf9b,major-sweep-31,finished,5.0962762619654e-06,0.005323412811724249,144,11,3,0.40033325408793896,1.7535792737575375,0.46746202236188905,1.045948157057187,4.553319931030273
35,ryn8jhlr,smooth-sweep-24,finished,7.419427402350538e-06,0.004672881864815415,546,9,6,0.0990037330422475,1.0336783560694414,0.04347644938193351,0.5391709098441733,4.604676246643066
36,uo6f50gw,absurd-sweep-30,finished,3.3551662491517544e-06,0.0003354328108953542,909,9,6,0.2495066001962788,0.741863219678248,0.14607009821083988,1.1031687283648193,4.608468532562256
37,7o6ptrro,jumping-sweep-28,finished,4.953162565766112e-06,0.0004656331875055554,377,5,6,0.251595837059918,1.2339687983796206,0.4131853049997058,0.9998904075877982,4.716546058654785
38,9e34wbvg,kind-sweep-27,finished,9.493190290640486e-06,0.005988257097320859,1345,9,3,0.43924934329292686,1.995968646283298,0.19697432652743196,1.0063255543140914,4.748659133911133
39,9hudbuk5,deft-sweep-17,finished,3.006661240553496e-06,0.00020229123003840185,749,4,5,0.08593998661349145,1.246228807059986,0.4653791976772641,1.3045705881498688,4.832393169403076
40,sr5sz1s0,atomic-sweep-20,finished,7.044333132838341e-06,4.3458645674866725e-05,760,10,6,0.4569342647300302,1.5417483183434055,0.2116661651728051,1.0635918855301814,4.909748077392578
41,ovm7salv,smart-sweep-9,finished,4.082480550626909e-06,0.003299263180589572,722,6,5,0.2327680495797468,1.959885655354317,0.15016171923717153,0.8306694009764709,5.400944232940674
42,05sglmsn,kind-sweep-39,finished,3.639366438894118e-06,0.0001183974186918551,506,6,5,0.17235933022844724,1.9758581491623377,0.09425022279089816,1.325707533613667,5.7950029373168945
