epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6719,2.65167,1.83345,1.20115,0.46935,0.47682,0.43439,0.24793,2.3591,1.2508,1.09509,5.71288e-05,5.71288e-05,0.0669926
2,52.2587,2.32086,1.24967,1.08,0.46132,0.45173,0.48873,0.28263,2.2349,1.11412,1.05435,0.000112451,0.000112451,0.0337146
3,74.4502,2.2516,1.15827,1.06829,0.48331,0.56834,0.51362,0.29552,2.22773,1.04997,1.05652,0.000165492,0.000165492,0.000434309
4,96.6785,2.17667,1.11067,1.05032,0.6104,0.56521,0.57013,0.32644,2.14508,0.99301,1.04159,0.000162517,0.000162517,0.000162517
5,118.963,2.13564,1.07188,1.04324,0.59055,0.56305,0.57464,0.33612,2.15243,0.97635,1.03206,0.000159096,0.000159096,0.000159096
6,141.503,2.11703,1.04736,1.02275,0.55648,0.56051,0.55204,0.32541,2.11685,1.00676,1.01983,0.000155675,0.000155675,0.000155675
7,163.641,2.09783,1.0098,1.02824,0.60137,0.57845,0.58696,0.34621,2.10621,0.96125,1.02598,0.000152254,0.000152254,0.000152254
8,185.967,2.08537,0.98939,1.02166,0.66202,0.57765,0.60452,0.36394,2.09216,0.93655,1.01535,0.000148833,0.000148833,0.000148833
9,208.504,2.10035,0.98439,1.0182,0.64408,0.58425,0.60416,0.3571,2.094,0.94463,1.02395,0.000145412,0.000145412,0.000145412
10,230.502,2.0571,0.94756,1.00202,0.63001,0.58896,0.62481,0.37358,2.05142,0.91795,1.01028,0.000141991,0.000141991,0.000141991
11,252.427,2.0272,0.94325,1.00477,0.66473,0.5989,0.63003,0.37974,2.06348,0.89005,1.01727,0.000138569,0.000138569,0.000138569
12,274.812,2.00611,0.91136,1.00145,0.65952,0.59582,0.62467,0.37034,2.07926,0.91404,1.01886,0.000135148,0.000135148,0.000135148
13,297.392,2.01178,0.91627,0.99914,0.67006,0.60549,0.63433,0.38141,2.04406,0.8908,1.00722,0.000131727,0.000131727,0.000131727
14,319.49,1.97979,0.9016,0.98277,0.66651,0.60147,0.63593,0.38054,2.05484,0.89014,1.00893,0.000128306,0.000128306,0.000128306
15,341.323,1.99318,0.89761,0.99332,0.64341,0.59061,0.60714,0.36969,2.07711,0.90568,1.01386,0.000124885,0.000124885,0.000124885
16,363.423,1.9583,0.8785,0.98317,0.65097,0.6134,0.63073,0.3822,2.05057,0.8636,1.00696,0.000121464,0.000121464,0.000121464
17,385.651,1.94524,0.8636,0.97856,0.6539,0.59394,0.63092,0.38477,2.03027,0.90207,1.00923,0.000118043,0.000118043,0.000118043
18,407.943,1.9357,0.85909,0.98139,0.65775,0.6256,0.63125,0.37917,2.04545,0.88367,1.00931,0.000114622,0.000114622,0.000114622
19,429.774,1.91874,0.83087,0.97353,0.70752,0.5857,0.64417,0.38923,2.01569,0.86631,0.99885,0.000111201,0.000111201,0.000111201
20,452.038,1.92398,0.83404,0.96824,0.64595,0.63408,0.63217,0.38304,2.04096,0.90774,0.99944,0.00010778,0.00010778,0.00010778
21,473.964,1.88374,0.81768,0.96797,0.66499,0.62189,0.64561,0.39414,2.01034,0.84474,0.99276,0.000104359,0.000104359,0.000104359
22,496.589,1.87122,0.78168,0.96894,0.7029,0.60276,0.63806,0.38621,2.02689,0.86277,1.00156,0.000100938,0.000100938,0.000100938
23,518.507,1.85474,0.76453,0.96103,0.65326,0.62506,0.65186,0.39217,2.02341,0.8498,0.99651,9.7517e-05,9.7517e-05,9.7517e-05
24,540.429,1.83093,0.74831,0.95318,0.6494,0.61981,0.64383,0.38914,2.0217,0.84832,1.00323,9.40959e-05,9.40959e-05,9.40959e-05
25,562.162,1.83853,0.74634,0.9573,0.66781,0.62962,0.65358,0.39588,2.01494,0.84226,0.99642,9.06749e-05,9.06749e-05,9.06749e-05
26,584.333,1.81213,0.72594,0.94875,0.65999,0.61678,0.64997,0.39393,2.0132,0.84659,0.99677,8.72539e-05,8.72539e-05,8.72539e-05
27,606.245,1.80356,0.72027,0.94368,0.68974,0.60346,0.64269,0.3902,1.99082,0.85649,0.99393,8.38328e-05,8.38328e-05,8.38328e-05
28,628.09,1.77989,0.70526,0.9406,0.66014,0.62018,0.64254,0.38772,2.00428,0.83906,0.99232,8.04118e-05,8.04118e-05,8.04118e-05
29,650.003,1.78143,0.69163,0.94042,0.70439,0.59673,0.64093,0.38859,2.01343,0.83475,0.99626,7.69907e-05,7.69907e-05,7.69907e-05
30,671.98,1.76882,0.68422,0.93297,0.69804,0.61326,0.64965,0.39466,2.00831,0.83709,0.99223,7.35697e-05,7.35697e-05,7.35697e-05
31,694.208,1.75173,0.67535,0.9288,0.66642,0.62943,0.64849,0.39116,2.01197,0.8275,0.99653,7.01486e-05,7.01486e-05,7.01486e-05
